"SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species","sl","sw","sw_bin","sl_bin","pl","pl_bin","pw","pw_seg","pw_bin"
5.1,3.5,1.4,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.9,3,1.4,0.2,"Iris-setosa","low","low","low","low","low","low","low","low","low"
4.7,3.2,1.3,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.6,3.1,1.5,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.6,1.4,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.4,3.9,1.7,0.4,"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
4.6,3.4,1.4,0.3,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.4,1.5,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.4,2.9,1.4,0.2,"Iris-setosa","low","low","low","low","low","low","low","low","low"
4.9,3.1,1.5,0.1,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.4,3.7,1.5,0.2,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
4.8,3.4,1.6,0.2,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
4.8,3,1.4,0.1,"Iris-setosa","low","low","low","low","low","low","low","low","low"
4.3,3,1.1,0.1,"Iris-setosa","low","low","low","low","low","low","low","low","low"
5.8,4,1.2,0.2,"Iris-setosa","mid","high","high","high","low","low","low","low","low"
5.7,4.4,1.5,0.4,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
5.4,3.9,1.3,0.4,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
5.1,3.5,1.4,0.3,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.7,3.8,1.7,0.3,"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
5.1,3.8,1.5,0.3,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.4,3.4,1.7,0.2,"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
5.1,3.7,1.5,0.4,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.6,3.6,1,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.1,3.3,1.7,0.5,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
4.8,3.4,1.9,0.2,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
5,3,1.6,0.2,"Iris-setosa","low","low","low","low","mid","low","low","low","low"
5,3.4,1.6,0.4,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
5.2,3.5,1.5,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.2,3.4,1.4,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.7,3.2,1.6,0.2,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
4.8,3.1,1.6,0.2,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
5.4,3.4,1.5,0.4,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
5.2,4.1,1.5,0.1,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.5,4.2,1.4,0.2,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
4.9,3.1,1.5,0.1,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.2,1.2,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.5,3.5,1.3,0.2,"Iris-setosa","mid","high","high","low","low","low","low","low","low"
4.9,3.1,1.5,0.1,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.4,3,1.3,0.2,"Iris-setosa","low","low","low","low","low","low","low","low","low"
5.1,3.4,1.5,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.5,1.3,0.3,"Iris-setosa","low","high","high","low","low","low","low","low","low"
4.5,2.3,1.3,0.3,"Iris-setosa","low","low","low","low","low","low","low","low","low"
4.4,3.2,1.3,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.5,1.6,0.6,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
5.1,3.8,1.9,0.4,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
4.8,3,1.4,0.3,"Iris-setosa","low","low","low","low","low","low","low","low","low"
5.1,3.8,1.6,0.2,"Iris-setosa","low","high","high","low","mid","low","low","low","low"
4.6,3.2,1.4,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5.3,3.7,1.5,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
5,3.3,1.4,0.2,"Iris-setosa","low","high","high","low","low","low","low","low","low"
7,3.2,4.7,1.4,"Iris-versicolor","high","high","high","high","high","high","mid","mid","low"
6.4,3.2,4.5,1.5,"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
6.9,3.1,4.9,1.5,"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
5.5,2.3,4,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
6.5,2.8,4.6,1.5,"Iris-versicolor","high","low","low","high","high","high","mid","mid","high"
5.7,2.8,4.5,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
6.3,3.3,4.7,1.6,"Iris-versicolor","high","high","high","high","high","high","mid","high","high"
4.9,2.4,3.3,1,"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
6.6,2.9,4.6,1.3,"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
5.2,2.7,3.9,1.4,"Iris-versicolor","low","low","low","low","mid","high","mid","mid","low"
5,2,3.5,1,"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
5.9,3,4.2,1.5,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
6,2.2,4,1,"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
6.1,2.9,4.7,1.4,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
5.6,2.9,3.6,1.3,"Iris-versicolor","mid","low","low","low","mid","high","mid","mid","low"
6.7,3.1,4.4,1.4,"Iris-versicolor","high","high","high","high","high","high","mid","mid","low"
5.6,3,4.5,1.5,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","high"
5.8,2.7,4.1,1,"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
6.2,2.2,4.5,1.5,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
5.6,2.5,3.9,1.1,"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
5.9,3.2,4.8,1.8,"Iris-versicolor","mid","high","high","high","high","high","mid","high","high"
6.1,2.8,4,1.3,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
6.3,2.5,4.9,1.5,"Iris-versicolor","high","low","low","high","high","high","mid","mid","high"
6.1,2.8,4.7,1.2,"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
6.4,2.9,4.3,1.3,"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
6.6,3,4.4,1.4,"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
6.8,2.8,4.8,1.4,"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
6.7,3,5,1.7,"Iris-versicolor","high","low","low","high","too_high","high","mid","high","high"
6,2.9,4.5,1.5,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
5.7,2.6,3.5,1,"Iris-versicolor","mid","low","low","low","mid","low","low","mid","low"
5.5,2.4,3.8,1.1,"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
5.5,2.4,3.7,1,"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
5.8,2.7,3.9,1.2,"Iris-versicolor","mid","low","low","high","mid","high","low","mid","low"
6,2.7,5.1,1.6,"Iris-versicolor","mid","low","low","high","too_high","high","mid","high","high"
5.4,3,4.5,1.5,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","high"
6,3.4,4.5,1.6,"Iris-versicolor","mid","high","high","high","high","high","mid","high","high"
6.7,3.1,4.7,1.5,"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
6.3,2.3,4.4,1.3,"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
5.6,3,4.1,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
5.5,2.5,4,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
5.5,2.6,4.4,1.2,"Iris-versicolor","mid","low","low","low","high","high","low","mid","low"
6.1,3,4.6,1.4,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
5.8,2.6,4,1.2,"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
5,2.3,3.3,1,"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
5.6,2.7,4.2,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
5.7,3,4.2,1.2,"Iris-versicolor","mid","low","low","low","high","high","low","mid","low"
5.7,2.9,4.2,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
6.2,2.9,4.3,1.3,"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
5.1,2.5,3,1.1,"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
5.7,2.8,4.1,1.3,"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
6.3,3.3,6,2.5,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
5.8,2.7,5.1,1.9,"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
7.1,3,5.9,2.1,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.3,2.9,5.6,1.8,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
6.5,3,5.8,2.2,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
7.6,3,6.6,2.1,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
4.9,2.5,4.5,1.7,"Iris-virginica","low","low","low","low","high","high","mid","high","high"
7.3,2.9,6.3,1.8,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
6.7,2.5,5.8,1.8,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
7.2,3.6,6.1,2.5,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.5,3.2,5.1,2,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.4,2.7,5.3,1.9,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
6.8,3,5.5,2.1,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
5.7,2.5,5,2,"Iris-virginica","mid","low","low","low","too_high","high","high","high","high"
5.8,2.8,5.1,2.4,"Iris-virginica","mid","low","low","high","too_high","high","high","high","high"
6.4,3.2,5.3,2.3,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.5,3,5.5,1.8,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
7.7,3.8,6.7,2.2,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
7.7,2.6,6.9,2.3,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6,2.2,5,1.5,"Iris-virginica","mid","low","low","high","too_high","high","mid","mid","high"
6.9,3.2,5.7,2.3,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
5.6,2.8,4.9,2,"Iris-virginica","mid","low","low","low","high","high","high","high","high"
7.7,2.8,6.7,2,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.3,2.7,4.9,1.8,"Iris-virginica","high","low","low","high","high","high","mid","high","high"
6.7,3.3,5.7,2.1,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
7.2,3.2,6,1.8,"Iris-virginica","high","high","high","high","too_high","high","mid","high","high"
6.2,2.8,4.8,1.8,"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
6.1,3,4.9,1.8,"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
6.4,2.8,5.6,2.1,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
7.2,3,5.8,1.6,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
7.4,2.8,6.1,1.9,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
7.9,3.8,6.4,2,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.4,2.8,5.6,2.2,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.3,2.8,5.1,1.5,"Iris-virginica","high","low","low","high","too_high","high","mid","mid","high"
6.1,2.6,5.6,1.4,"Iris-virginica","mid","low","low","high","too_high","high","mid","mid","low"
7.7,3,6.1,2.3,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.3,3.4,5.6,2.4,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.4,3.1,5.5,1.8,"Iris-virginica","high","high","high","high","too_high","high","mid","high","high"
6,3,4.8,1.8,"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
6.9,3.1,5.4,2.1,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.7,3.1,5.6,2.4,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.9,3.1,5.1,2.3,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
5.8,2.7,5.1,1.9,"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
6.8,3.2,5.9,2.3,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.7,3.3,5.7,2.5,"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
6.7,3,5.2,2.3,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.3,2.5,5,1.9,"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
6.5,3,5.2,2,"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
6.2,3.4,5.4,2.3,"Iris-virginica","mid","high","high","high","too_high","high","high","high","high"
5.9,3,5.1,1.8,"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
