"Species","sl","sw","sw_bin","sl_bin","pl","pl_bin","pw","pw_seg","pw_bin"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","high","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","low","low","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","mid","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","low","low","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","mid","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-setosa","low","high","high","low","low","low","low","low","low"
"Iris-versicolor","high","high","high","high","high","high","mid","mid","low"
"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","high","high","high","high","high","high","mid","high","high"
"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","low","low","low","low","mid","high","mid","mid","low"
"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","mid","high","mid","mid","low"
"Iris-versicolor","high","high","high","high","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
"Iris-versicolor","mid","high","high","high","high","high","mid","high","high"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","high","low","low","high","too_high","high","mid","high","high"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","high"
"Iris-versicolor","mid","low","low","low","mid","low","low","mid","low"
"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
"Iris-versicolor","mid","low","low","low","mid","high","low","mid","low"
"Iris-versicolor","mid","low","low","high","mid","high","low","mid","low"
"Iris-versicolor","mid","low","low","high","too_high","high","mid","high","high"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","high"
"Iris-versicolor","mid","high","high","high","high","high","mid","high","high"
"Iris-versicolor","high","high","high","high","high","high","mid","mid","high"
"Iris-versicolor","high","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","low","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","low","mid","low"
"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","low","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-versicolor","mid","low","low","high","high","high","mid","mid","low"
"Iris-versicolor","low","low","low","low","mid","low","low","mid","low"
"Iris-versicolor","mid","low","low","low","high","high","mid","mid","low"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","low","low","low","low","high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","low","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","high","too_high","high","mid","mid","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","low","high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","mid","high","high"
"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","mid","high"
"Iris-virginica","mid","low","low","high","too_high","high","mid","mid","low"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","mid","high","high"
"Iris-virginica","mid","low","low","high","high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","high","high","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","high","low","low","high","too_high","high","mid","high","high"
"Iris-virginica","high","low","low","high","too_high","high","high","high","high"
"Iris-virginica","mid","high","high","high","too_high","high","high","high","high"
"Iris-virginica","mid","low","low","high","too_high","high","mid","high","high"
